               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038844,            0.020352,            0.012332,             0.70013,             0.56737,             0.63664,             0.40667,            0.043879,            0.013249,             0.01323,            0.006436,            0.006436,            0.006436
                  38,            0.038743,            0.020503,            0.010629,             0.68699,             0.60259,             0.64937,             0.41392,            0.042992,            0.013359,            0.010528,            0.006337,            0.006337,            0.006337
                  39,            0.038234,             0.02065,            0.010907,             0.69232,             0.58776,              0.6197,             0.39837,             0.04335,            0.013288,            0.011129,            0.006238,            0.006238,            0.006238
                  40,             0.03785,            0.020356,            0.011166,             0.64261,             0.57309,             0.61128,             0.38642,            0.043228,            0.013552,            0.011547,            0.006139,            0.006139,            0.006139
                  41,            0.037989,            0.020168,            0.010715,             0.66869,             0.58112,             0.63206,             0.40272,             0.04315,            0.013433,            0.010434,             0.00604,             0.00604,             0.00604
                  42,            0.037466,            0.020116,           0.0097955,             0.70344,             0.59575,             0.65151,             0.42052,             0.04228,            0.013342,           0.0093599,            0.005941,            0.005941,            0.005941
                  43,            0.037267,            0.019878,            0.010106,             0.71072,             0.59851,             0.64479,             0.41441,            0.042755,            0.013222,           0.0079958,            0.005842,            0.005842,            0.005842
                  44,             0.03689,            0.020007,           0.0096295,             0.69553,             0.59051,             0.64104,             0.40979,            0.042207,            0.013228,            0.012466,            0.005743,            0.005743,            0.005743
                  45,            0.036759,            0.019523,            0.009709,             0.70965,             0.61121,             0.65274,             0.42302,            0.042568,            0.013187,            0.011633,            0.005644,            0.005644,            0.005644
                  46,            0.036261,            0.019711,           0.0088687,              0.7039,             0.61378,             0.66269,             0.43983,            0.041731,            0.012982,           0.0088816,            0.005545,            0.005545,            0.005545
                  47,            0.035801,            0.019852,           0.0094794,             0.71357,             0.59597,             0.64745,             0.42109,            0.042569,            0.013285,            0.010473,            0.005446,            0.005446,            0.005446
                  48,            0.035325,            0.019768,           0.0090451,             0.71157,             0.60686,             0.64603,             0.42436,            0.042178,            0.013339,           0.0098418,            0.005347,            0.005347,            0.005347
                  49,            0.035269,            0.018966,           0.0088699,             0.72313,              0.5965,             0.65144,             0.43319,            0.043332,            0.013297,            0.010249,            0.005248,            0.005248,            0.005248
                  50,            0.035028,            0.019296,           0.0084996,             0.70755,             0.61385,             0.67315,              0.4406,            0.042578,            0.013071,             0.01017,            0.005149,            0.005149,            0.005149
                  51,            0.034756,            0.019258,           0.0085511,             0.70578,             0.61814,             0.67185,             0.44388,            0.041863,            0.013004,            0.008145,             0.00505,             0.00505,             0.00505
                  52,            0.034702,             0.01926,           0.0080843,              0.7066,             0.62363,             0.67125,             0.44581,            0.041988,            0.012885,            0.010101,            0.004951,            0.004951,            0.004951
                  53,             0.03446,            0.019333,           0.0079009,             0.71919,             0.61534,             0.68937,             0.45852,            0.042323,            0.013063,           0.0085158,            0.004852,            0.004852,            0.004852
                  54,            0.033709,            0.019059,           0.0073167,             0.73608,              0.6259,             0.69087,             0.46133,            0.042103,             0.01288,           0.0081305,            0.004753,            0.004753,            0.004753
                  55,            0.033731,            0.019093,           0.0079469,              0.7262,             0.63775,             0.69315,              0.4609,            0.042329,            0.013157,           0.0097124,            0.004654,            0.004654,            0.004654
                  56,            0.033544,            0.018894,           0.0070173,             0.72519,             0.62258,             0.67779,             0.45485,            0.041727,            0.013086,           0.0084418,            0.004555,            0.004555,            0.004555
                  57,            0.032354,            0.018447,           0.0066675,             0.74105,             0.63318,             0.68597,             0.46087,            0.041862,            0.013217,           0.0076697,            0.004456,            0.004456,            0.004456
                  58,            0.033217,            0.021673,            0.007882,             0.75954,             0.63523,             0.69592,             0.46988,             0.04041,            0.012588,           0.0077365,            0.004357,            0.004357,            0.004357
                  59,            0.032797,            0.021112,           0.0070727,             0.75432,             0.63919,             0.70212,             0.47597,            0.040486,            0.012418,           0.0079623,            0.004258,            0.004258,            0.004258
                  60,            0.032077,            0.020915,           0.0076102,             0.75424,              0.6375,             0.70075,             0.47455,            0.040593,            0.012546,           0.0083616,            0.004159,            0.004159,            0.004159
                  61,            0.031591,            0.020799,           0.0069784,             0.77151,              0.6214,             0.70512,             0.48046,            0.040502,            0.012485,           0.0077757,             0.00406,             0.00406,             0.00406
                  62,            0.032175,            0.020847,           0.0069839,             0.75306,             0.64671,             0.70705,             0.48119,            0.041034,            0.012437,           0.0077678,            0.003961,            0.003961,            0.003961
                  63,            0.030698,            0.020376,            0.006154,             0.73152,             0.66963,             0.70891,             0.48651,             0.04104,            0.012538,           0.0071168,            0.003862,            0.003862,            0.003862
                  64,            0.031293,            0.020306,           0.0065428,              0.7406,             0.65356,             0.70787,             0.48408,            0.041019,            0.012461,           0.0076846,            0.003763,            0.003763,            0.003763
                  65,            0.030876,            0.020089,           0.0067241,             0.72342,             0.67538,             0.70831,             0.48989,             0.04133,            0.012403,           0.0085912,            0.003664,            0.003664,            0.003664
                  66,            0.030491,            0.020138,           0.0059228,             0.74462,             0.65518,             0.71264,             0.49011,            0.040531,             0.01243,           0.0082994,            0.003565,            0.003565,            0.003565
                  67,            0.030844,            0.020138,           0.0058353,             0.75242,             0.64635,             0.71333,              0.4902,            0.040351,            0.012284,           0.0086118,            0.003466,            0.003466,            0.003466
                  68,            0.029788,            0.019714,           0.0057009,             0.74618,             0.65276,              0.7114,             0.49264,            0.040666,            0.012372,           0.0075304,            0.003367,            0.003367,            0.003367
                  69,            0.030118,            0.019695,           0.0060966,             0.75455,             0.63772,              0.7146,             0.49651,             0.04037,            0.012498,           0.0081643,            0.003268,            0.003268,            0.003268
                  70,            0.029663,            0.019549,           0.0053555,             0.75922,              0.6512,             0.71574,             0.49313,            0.040479,            0.012263,           0.0069139,            0.003169,            0.003169,            0.003169
                  71,             0.02969,            0.019283,           0.0055313,             0.72921,             0.66375,             0.71573,              0.4962,            0.040362,            0.012337,           0.0078542,             0.00307,             0.00307,             0.00307
                  72,             0.02905,            0.019195,           0.0051919,             0.73576,             0.67247,             0.72344,             0.49848,            0.040721,            0.012347,           0.0079336,            0.002971,            0.002971,            0.002971
                  73,            0.029164,            0.018934,           0.0052543,               0.776,              0.6562,             0.72642,             0.50252,            0.040501,            0.012342,           0.0083446,            0.002872,            0.002872,            0.002872
                  74,            0.028712,            0.018997,           0.0051546,             0.77066,              0.6635,             0.72633,             0.50381,            0.040969,            0.012419,           0.0086279,            0.002773,            0.002773,            0.002773
                  75,            0.028447,            0.018935,           0.0049662,             0.77404,             0.65494,             0.72709,             0.50656,            0.040203,            0.012362,           0.0089098,            0.002674,            0.002674,            0.002674
                  76,            0.028112,            0.018999,           0.0051525,             0.77507,             0.66595,             0.73048,             0.51158,            0.040477,            0.012364,           0.0083634,            0.002575,            0.002575,            0.002575
                  77,            0.027429,            0.018189,            0.004826,              0.7807,              0.6717,             0.73179,             0.50833,            0.040703,             0.01259,           0.0077592,            0.002476,            0.002476,            0.002476
                  78,            0.027584,            0.018359,           0.0046151,             0.76611,             0.66584,             0.72472,             0.50939,            0.040594,            0.012438,           0.0074453,            0.002377,            0.002377,            0.002377
                  79,            0.027203,            0.018038,           0.0043415,             0.75126,             0.69155,             0.73538,             0.51914,            0.040385,            0.012427,           0.0076299,            0.002278,            0.002278,            0.002278
                  80,            0.026895,            0.018164,           0.0042151,             0.78627,             0.65651,             0.73216,             0.51202,            0.040247,            0.012391,           0.0075505,            0.002179,            0.002179,            0.002179
                  81,            0.026837,            0.018121,           0.0040102,             0.75556,             0.68462,             0.73626,             0.51687,            0.040839,            0.012497,           0.0074958,             0.00208,             0.00208,             0.00208
                  82,            0.026254,            0.017792,           0.0037978,             0.75785,             0.67747,             0.73578,             0.51429,             0.04038,            0.012617,           0.0085082,            0.001981,            0.001981,            0.001981
                  83,            0.026343,            0.017788,           0.0039032,             0.76543,             0.66502,             0.73174,             0.51217,            0.040595,            0.012723,           0.0084121,            0.001882,            0.001882,            0.001882
                  84,            0.026255,             0.01769,           0.0039641,             0.79475,             0.65808,             0.73863,              0.5143,            0.040823,             0.01265,           0.0075431,            0.001783,            0.001783,            0.001783
                  85,            0.025565,            0.016338,           0.0036035,             0.76936,             0.67855,             0.73697,             0.51803,            0.040685,            0.012776,           0.0072579,            0.001684,            0.001684,            0.001684
                  86,            0.025148,            0.016022,            0.003347,             0.78615,             0.65949,             0.73363,             0.51736,             0.04058,            0.012924,           0.0084684,            0.001585,            0.001585,            0.001585
                  87,             0.02504,            0.015835,            0.003351,              0.7864,             0.65939,             0.73336,             0.51513,            0.040703,            0.013013,           0.0093257,            0.001486,            0.001486,            0.001486
                  88,            0.024428,            0.015741,           0.0030883,             0.77833,              0.6637,             0.73651,             0.51544,            0.040731,            0.013007,           0.0087073,            0.001387,            0.001387,            0.001387
                  89,            0.024712,            0.015523,           0.0031999,             0.76354,             0.68215,             0.73392,             0.51675,             0.04065,            0.012991,           0.0080659,            0.001288,            0.001288,            0.001288
                  90,             0.02354,            0.015357,           0.0028797,             0.77692,             0.66665,             0.72848,             0.51317,            0.040778,            0.013178,           0.0082913,            0.001189,            0.001189,            0.001189
                  91,            0.023659,            0.015324,           0.0031169,             0.78457,             0.65852,             0.72961,             0.51111,            0.041064,            0.013222,           0.0082491,             0.00109,             0.00109,             0.00109
                  92,            0.023239,            0.015053,            0.003071,             0.78692,             0.66277,              0.7299,              0.5131,            0.040919,            0.013224,           0.0081763,            0.000991,            0.000991,            0.000991
                  93,            0.023432,            0.015155,           0.0026332,             0.77737,             0.66154,             0.72742,             0.51094,            0.041018,            0.013333,           0.0080421,            0.000892,            0.000892,            0.000892
                  94,            0.023449,            0.015124,           0.0027034,             0.79317,             0.66432,             0.72883,             0.51211,            0.041171,            0.013406,           0.0082049,            0.000793,            0.000793,            0.000793
                  95,            0.022325,            0.014771,           0.0024458,             0.78745,             0.66515,             0.72805,             0.51139,            0.041146,            0.013399,           0.0084409,            0.000694,            0.000694,            0.000694
                  96,            0.022594,            0.014723,           0.0027656,             0.80368,             0.65459,             0.72705,              0.5101,            0.041245,            0.013445,           0.0083515,            0.000595,            0.000595,            0.000595
                  97,            0.022397,            0.014745,           0.0024704,             0.78262,             0.66728,             0.73074,             0.51351,            0.041029,            0.013515,           0.0085373,            0.000496,            0.000496,            0.000496
                  98,            0.022383,            0.014521,           0.0023735,             0.78256,             0.66143,             0.72954,             0.51435,            0.041325,            0.013641,           0.0087881,            0.000397,            0.000397,            0.000397
                  99,            0.021936,            0.014538,           0.0022454,             0.78374,             0.66446,             0.72953,             0.51372,            0.041433,            0.013703,           0.0090506,            0.000298,            0.000298,            0.000298
