               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038864,            0.023481,            0.012128,             0.70825,             0.58782,             0.64984,             0.40381,            0.043351,             0.01324,            0.010926,            0.006436,            0.006436,            0.006436
                  38,             0.03859,            0.023848,            0.011284,             0.67736,             0.57277,             0.63631,             0.40783,            0.043145,            0.013122,           0.0093207,            0.006337,            0.006337,            0.006337
                  39,            0.038609,            0.021006,            0.012194,             0.66315,              0.5774,             0.61158,             0.38069,            0.043773,            0.013729,            0.012727,            0.006238,            0.006238,            0.006238
                  40,            0.038328,            0.020919,            0.010873,             0.68382,             0.55791,             0.61283,              0.3859,             0.04413,            0.013628,            0.014669,            0.006139,            0.006139,            0.006139
                  41,            0.038428,            0.020741,            0.011068,             0.66794,             0.57487,             0.62749,             0.40041,            0.043761,            0.013752,            0.011501,             0.00604,             0.00604,             0.00604
                  42,              0.0372,            0.020604,            0.010081,             0.70364,             0.58605,             0.64533,             0.41575,            0.043466,            0.013448,            0.011342,            0.005941,            0.005941,            0.005941
                  43,            0.037742,             0.02037,            0.010157,             0.68862,             0.59223,             0.64086,             0.40443,             0.04297,            0.013464,            0.011739,            0.005842,            0.005842,            0.005842
                  44,            0.036582,            0.020352,            0.010048,             0.66106,             0.56876,             0.62139,              0.3894,            0.042927,            0.013495,            0.010719,            0.005743,            0.005743,            0.005743
                  45,            0.036907,            0.020313,            0.010475,             0.67399,             0.57156,             0.63005,             0.40417,            0.042999,            0.013386,            0.012995,            0.005644,            0.005644,            0.005644
                  46,            0.036573,            0.019971,           0.0098287,             0.67469,             0.60467,             0.64581,             0.40568,             0.04267,            0.013265,           0.0092671,            0.005545,            0.005545,            0.005545
                  47,            0.036298,            0.020254,           0.0088884,              0.7073,             0.59241,             0.65333,             0.41861,            0.043303,             0.01338,            0.012075,            0.005446,            0.005446,            0.005446
                  48,            0.036121,            0.020352,           0.0089807,             0.68371,             0.59662,              0.6432,             0.41741,            0.042037,            0.013278,           0.0095981,            0.005347,            0.005347,            0.005347
                  49,            0.035318,            0.019905,           0.0087255,             0.71451,             0.60071,             0.65499,             0.42764,            0.042864,            0.013229,            0.010004,            0.005248,            0.005248,            0.005248
                  50,            0.035662,            0.019833,           0.0090484,             0.69649,             0.59801,             0.65358,             0.42384,            0.042517,            0.013328,            0.008759,            0.005149,            0.005149,            0.005149
                  51,            0.035221,            0.019635,           0.0081748,              0.6934,             0.61746,             0.64837,             0.42464,            0.042209,            0.013121,           0.0098997,             0.00505,             0.00505,             0.00505
                  52,            0.035078,            0.019546,           0.0080229,              0.7063,             0.62312,             0.66903,             0.43939,            0.042231,            0.013067,            0.010525,            0.004951,            0.004951,            0.004951
                  53,            0.034392,            0.019683,           0.0082153,               0.674,             0.59955,             0.65198,             0.42596,            0.042586,            0.013106,            0.012084,            0.004852,            0.004852,            0.004852
                  54,            0.034585,            0.019035,           0.0081461,             0.68551,             0.61676,             0.66971,             0.44391,            0.041976,            0.013072,            0.010253,            0.004753,            0.004753,            0.004753
                  55,            0.034286,            0.019365,           0.0074135,             0.72016,             0.60951,              0.6719,             0.43829,            0.041811,            0.013136,           0.0090424,            0.004654,            0.004654,            0.004654
                  56,            0.034704,              0.0198,           0.0092351,             0.69198,             0.61788,             0.65506,             0.43514,             0.04234,            0.013297,            0.010253,            0.004555,            0.004555,            0.004555
                  57,            0.034413,            0.019846,           0.0085793,             0.68948,             0.61681,             0.65921,             0.43631,            0.042324,             0.01307,            0.012385,            0.004456,            0.004456,            0.004456
                  58,            0.034199,            0.019066,           0.0086007,             0.73674,             0.62465,             0.67731,             0.44885,            0.042749,            0.013155,            0.011117,            0.004357,            0.004357,            0.004357
                  59,            0.034286,            0.019481,           0.0084705,             0.73718,             0.60638,             0.67688,             0.45031,            0.041883,            0.013081,           0.0096768,            0.004258,            0.004258,            0.004258
                  60,            0.033641,            0.019252,           0.0080285,              0.7025,             0.62174,             0.67365,              0.4532,            0.041399,            0.013063,           0.0089224,            0.004159,            0.004159,            0.004159
                  61,            0.033754,            0.019316,           0.0080972,             0.71378,             0.62667,              0.6716,             0.44208,            0.042196,            0.013002,           0.0087405,             0.00406,             0.00406,             0.00406
                  62,            0.033934,            0.019504,            0.007915,             0.73909,             0.62761,             0.68695,             0.45934,            0.041742,            0.012908,           0.0092931,            0.003961,            0.003961,            0.003961
                  63,             0.03317,            0.019166,            0.007508,             0.69569,             0.64129,             0.69398,             0.46323,            0.041208,            0.012865,           0.0072535,            0.003862,            0.003862,            0.003862
                  64,            0.033293,            0.019269,           0.0076782,             0.74591,             0.62927,             0.70348,             0.47297,            0.040955,            0.012993,           0.0084495,            0.003763,            0.003763,            0.003763
                  65,            0.032991,            0.019005,           0.0073164,             0.73856,             0.62515,             0.69738,             0.46592,            0.041146,            0.012939,           0.0093359,            0.003664,            0.003664,            0.003664
                  66,            0.032017,            0.018751,           0.0072282,             0.74023,             0.63957,             0.69364,             0.46318,            0.041132,             0.01303,           0.0078181,            0.003565,            0.003565,            0.003565
                  67,            0.032671,            0.018546,           0.0070572,             0.73304,             0.63543,             0.68994,             0.46327,            0.040995,            0.012966,           0.0086529,            0.003466,            0.003466,            0.003466
                  68,            0.032329,              0.0189,           0.0068912,             0.72742,             0.62526,             0.69162,              0.4646,            0.040935,            0.012758,           0.0079275,            0.003367,            0.003367,            0.003367
                  69,            0.031564,            0.018478,           0.0072911,             0.72572,             0.63332,             0.69215,              0.4614,            0.041053,            0.012893,           0.0097408,            0.003268,            0.003268,            0.003268
                  70,            0.032081,            0.018305,           0.0066568,             0.71979,             0.65029,             0.69881,             0.46781,            0.041396,            0.012586,            0.008327,            0.003169,            0.003169,            0.003169
                  71,            0.030937,            0.018003,           0.0069082,             0.73688,             0.64362,             0.70066,             0.47209,            0.041665,            0.012626,           0.0088813,             0.00307,             0.00307,             0.00307
                  72,            0.031376,            0.018263,           0.0067501,             0.74172,             0.63672,             0.69399,             0.47395,            0.041634,            0.013014,           0.0093286,            0.002971,            0.002971,            0.002971
                  73,            0.030991,            0.021043,           0.0067329,             0.74287,             0.64972,              0.7112,             0.48532,            0.040616,            0.012509,           0.0081529,            0.002872,            0.002872,            0.002872
                  74,            0.030862,             0.02054,           0.0059701,             0.75906,             0.64511,             0.71936,             0.49025,            0.040427,            0.012426,            0.008452,            0.002773,            0.002773,            0.002773
                  75,            0.029954,            0.020188,           0.0059687,             0.75788,             0.66216,             0.72667,             0.49854,            0.040189,            0.012248,           0.0074993,            0.002674,            0.002674,            0.002674
                  76,            0.029564,            0.020289,           0.0059475,             0.76484,             0.65363,             0.73161,              0.4996,              0.0401,            0.012231,           0.0080785,            0.002575,            0.002575,            0.002575
                  77,            0.029866,            0.020159,           0.0059453,             0.78146,             0.64366,             0.72699,             0.50162,             0.03996,            0.012189,           0.0080414,            0.002476,            0.002476,            0.002476
                  78,             0.02859,            0.019753,           0.0050775,             0.76894,             0.66318,             0.73354,             0.50511,            0.039845,            0.012238,           0.0072645,            0.002377,            0.002377,            0.002377
                  79,            0.029208,            0.019672,           0.0054217,             0.74786,             0.67824,             0.73378,             0.50794,            0.039924,            0.012231,           0.0087643,            0.002278,            0.002278,            0.002278
                  80,            0.028486,             0.01945,           0.0052241,             0.77454,             0.65429,             0.73374,             0.50833,             0.04006,            0.012164,           0.0085853,            0.002179,            0.002179,            0.002179
                  81,            0.028419,            0.019436,           0.0047825,             0.77411,             0.68307,             0.73977,             0.51123,            0.039949,             0.01208,           0.0080874,             0.00208,             0.00208,             0.00208
                  82,            0.028496,             0.01948,           0.0047183,             0.77702,             0.66792,             0.73916,             0.50825,            0.039602,            0.012207,           0.0083193,            0.001981,            0.001981,            0.001981
                  83,             0.02763,            0.018924,           0.0044636,             0.76375,             0.66802,             0.73346,             0.50664,            0.039727,            0.012259,           0.0075293,            0.001882,            0.001882,            0.001882
                  84,            0.028057,            0.018951,           0.0047808,             0.75931,             0.67851,             0.73864,             0.51467,            0.039807,            0.012289,           0.0077002,            0.001783,            0.001783,            0.001783
                  85,            0.027549,            0.018796,           0.0042397,             0.78815,             0.64373,             0.73569,             0.50809,              0.0394,            0.012325,           0.0081768,            0.001684,            0.001684,            0.001684
                  86,            0.027324,            0.018657,           0.0042515,             0.76815,             0.66005,             0.73807,             0.51099,             0.04003,            0.012274,           0.0087392,            0.001585,            0.001585,            0.001585
                  87,            0.026863,            0.018497,           0.0039571,             0.77759,             0.65844,             0.73414,             0.50934,            0.040143,            0.012383,           0.0082971,            0.001486,            0.001486,            0.001486
                  88,            0.026973,            0.018166,           0.0043468,             0.75527,             0.67274,             0.73543,             0.51221,            0.040204,            0.012408,           0.0090275,            0.001387,            0.001387,            0.001387
                  89,            0.026814,            0.018368,           0.0040104,             0.76142,             0.66381,             0.73796,             0.51625,            0.040219,            0.012473,           0.0083765,            0.001288,            0.001288,            0.001288
                  90,            0.026738,            0.018427,           0.0041439,              0.7734,             0.67427,             0.73339,             0.51523,            0.040112,            0.012417,           0.0081148,            0.001189,            0.001189,            0.001189
                  91,            0.026498,             0.01846,           0.0044994,             0.77399,             0.67012,             0.73487,             0.51384,             0.03995,            0.012443,           0.0085759,             0.00109,             0.00109,             0.00109
                  92,            0.025955,            0.017793,            0.004134,             0.75232,             0.68582,             0.73699,             0.51867,            0.040092,            0.012471,           0.0081199,            0.000991,            0.000991,            0.000991
                  93,            0.026103,            0.018045,           0.0041834,             0.78593,             0.65608,             0.73674,             0.51523,            0.039937,            0.012543,           0.0083714,            0.000892,            0.000892,            0.000892
                  94,            0.025496,            0.017702,           0.0036913,             0.79283,             0.65092,             0.73392,             0.51591,            0.040039,            0.012579,           0.0083197,            0.000793,            0.000793,            0.000793
                  95,            0.025774,            0.017989,           0.0036469,             0.75648,             0.67992,             0.73587,             0.51661,            0.039901,            0.012444,           0.0082019,            0.000694,            0.000694,            0.000694
                  96,            0.025732,            0.017952,           0.0035855,             0.75413,             0.67029,             0.73472,             0.51703,            0.039981,            0.012527,           0.0084352,            0.000595,            0.000595,            0.000595
                  97,            0.025241,            0.017646,           0.0037825,             0.80088,             0.64131,             0.73658,             0.51612,            0.040085,            0.012652,           0.0085068,            0.000496,            0.000496,            0.000496
                  98,            0.025306,            0.017673,           0.0035328,             0.77631,             0.66268,             0.73751,             0.51714,            0.040203,            0.012674,           0.0087551,            0.000397,            0.000397,            0.000397
                  99,            0.025122,            0.017546,           0.0036513,             0.79002,             0.65977,             0.73983,             0.51945,            0.040304,            0.012686,           0.0090058,            0.000298,            0.000298,            0.000298
