               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039029,            0.041666,            0.012474,             0.59286,             0.54115,             0.55532,             0.36286,            0.043484,            0.029853,             0.01415,            0.006436,            0.006436,            0.006436
                  38,            0.038932,            0.041464,             0.01269,             0.67035,              0.5531,              0.6152,             0.40261,            0.044058,            0.029857,            0.012947,            0.006337,            0.006337,            0.006337
                  39,            0.037785,            0.041289,            0.012214,              0.6871,             0.55357,             0.61662,             0.40706,            0.043359,            0.029522,            0.011122,            0.006238,            0.006238,            0.006238
                  40,            0.038432,            0.040765,            0.011258,             0.62851,             0.57833,             0.60443,             0.39139,            0.043239,            0.029688,            0.011397,            0.006139,            0.006139,            0.006139
                  41,            0.037066,            0.040676,            0.010413,             0.65536,             0.58198,              0.6155,             0.39837,            0.043089,            0.029758,             0.01096,             0.00604,             0.00604,             0.00604
                  42,            0.037354,            0.040575,            0.012216,             0.65107,             0.57008,             0.62294,             0.40646,            0.043447,            0.029305,            0.015868,            0.005941,            0.005941,            0.005941
                  43,            0.037205,             0.03998,            0.011317,              0.6446,             0.57954,             0.61977,             0.40854,            0.042941,            0.029083,            0.013314,            0.005842,            0.005842,            0.005842
                  44,            0.037433,            0.040497,             0.01007,             0.66726,             0.58318,              0.6253,             0.41248,              0.0429,            0.028884,            0.010793,            0.005743,            0.005743,            0.005743
                  45,            0.036733,            0.040349,            0.010498,             0.60608,             0.57526,             0.60441,             0.40304,            0.042265,            0.029301,            0.013908,            0.005644,            0.005644,            0.005644
                  46,            0.036262,            0.039626,            0.010296,             0.68664,             0.59238,             0.64045,             0.42687,            0.042721,            0.029465,           0.0095465,            0.005545,            0.005545,            0.005545
                  47,            0.036449,            0.039167,           0.0098289,             0.66854,             0.58633,             0.62974,             0.41733,            0.042086,            0.029453,            0.010947,            0.005446,            0.005446,            0.005446
                  48,            0.036339,            0.039231,           0.0091047,             0.65298,             0.61579,             0.63579,             0.42164,            0.041142,             0.02874,           0.0087507,            0.005347,            0.005347,            0.005347
                  49,            0.035944,            0.038939,           0.0092584,             0.68996,             0.59575,             0.64129,             0.42539,            0.042447,            0.028782,           0.0093578,            0.005248,            0.005248,            0.005248
                  50,            0.035326,            0.039043,           0.0091985,             0.68414,             0.58383,             0.62915,              0.4155,            0.042644,            0.029228,            0.010741,            0.005149,            0.005149,            0.005149
                  51,            0.035072,            0.038238,           0.0088117,              0.6748,             0.60704,             0.65518,             0.44034,            0.041992,            0.028864,            0.010671,             0.00505,             0.00505,             0.00505
                  52,            0.035133,             0.03827,           0.0084502,             0.72195,             0.60657,              0.6656,             0.44755,            0.042118,            0.029056,           0.0099922,            0.004951,            0.004951,            0.004951
                  53,            0.034593,            0.038414,            0.008274,             0.70072,             0.60255,             0.64428,             0.43705,            0.042205,             0.02893,            0.010808,            0.004852,            0.004852,            0.004852
                  54,            0.034328,            0.038718,           0.0084016,             0.66341,             0.60648,              0.6459,             0.43797,            0.041806,            0.029119,            0.010367,            0.004753,            0.004753,            0.004753
                  55,            0.035265,            0.038287,           0.0094934,             0.70332,             0.59953,             0.66177,             0.45144,            0.042151,            0.028831,             0.01201,            0.004654,            0.004654,            0.004654
                  56,            0.035137,            0.038998,           0.0094025,             0.68882,             0.59459,             0.65054,             0.43998,            0.041712,            0.028433,            0.011714,            0.004555,            0.004555,            0.004555
                  57,            0.034677,            0.038673,            0.009527,             0.69829,             0.59363,             0.64828,             0.44695,            0.041651,            0.028508,            0.010731,            0.004456,            0.004456,            0.004456
                  58,            0.034888,            0.038585,           0.0088433,             0.68704,             0.60145,             0.65508,             0.44718,            0.041152,            0.028421,              0.0113,            0.004357,            0.004357,            0.004357
                  59,            0.034879,             0.03878,           0.0085244,             0.69897,             0.61872,             0.66419,             0.45264,            0.041343,            0.028425,           0.0089041,            0.004258,            0.004258,            0.004258
                  60,            0.034176,            0.038372,           0.0082231,             0.68765,             0.62084,             0.66273,              0.4544,            0.040867,            0.028505,           0.0082655,            0.004159,            0.004159,            0.004159
                  61,            0.034083,            0.038266,           0.0085011,              0.7073,             0.62064,             0.67185,             0.45975,            0.040715,            0.028406,           0.0092325,             0.00406,             0.00406,             0.00406
                  62,            0.033973,            0.037904,           0.0080537,             0.72628,             0.60241,             0.67155,             0.45835,            0.040922,            0.028295,            0.010565,            0.003961,            0.003961,            0.003961
